Class name	Wubi Label Sequece
糄	14 24 13 0 17 
塴	5 12 4 4 
踉	10 7 24 4 23 
䇝	19 0 17 
甈	19 7 18 13 
儿	16 19 
羍	3 20 3 9 
褈	15 20 19 5 
膤	4 5 21 6 
复	19 9 19 
䞨	5 7 5 5 
甓	13 10 20 13 10 
㳴	8 13 19 5 
曉	9 5 5 16 
釢	16 4 13 19 
躠	0 22 13 7 13 
鑝	16 0 19 15 
磁	3 20 
贇	24 6 0 12 7 
萖	0 21 16 1 
崯	12 16 6 
㗤	3 7 8 10 
㻠	6 15 22 3 
挐	21 10 17 9 
橐	6 10 7 18 17 
恿	2 4 13 
誂	24 8 16 13 
揵	17 21 5 15 
復	19 19 9 19 4 
瞑	7 15 9 
垉	5 16 13 13 
䗴	9 19 19 15 
跛	10 7 7 2 7 
禤	15 24 11 13 20 
㭍	20 0 18 20 
醅	18 6 20 10 
氣	17 13 14 20 
䴻	19 16 19 19 
叹	10 2 24 0 
涒	8 21 19 10 
慓	13 18 5 8 
籙	19 16 21 8 
傝	22 9 13 6 
㓋	20 0 22 24 
卡	7 7 20 
晍	9 12 6 10 
鄛	21 9 18 1 
搔	17 2 24 9 3 
㶗	19 23 6 8 
坉	5 6 1 13 
䄕	15 24 8 11 
㶸	14 11 11 11 
柁	18 15 23 
勀	3 16 11 13 
笵	19 8 1 1 
哞	10 2 17 
昑	9 22 24 13 
鞕	0 5 6 16 
錣	16 2 2 2 
㘿	5 9 5 6 
滛	8 4 17 12 
螉	9 22 2 13 6 
铃	16 22 24 2 
怔	13 6 7 
㠞	19 12 6 12 
莽	0 3 0 
愤	13 5 0 
䞟	5 7 17 3 
橈	18 5 5 16 
倒	22 6 2 
币	19 12 7 
瀴	8 12 12 21 
蚆	9 2 13 
㯺	18 7 13 18 
迒	24 12 15 21 
庌	24 0 7 19 
㡊	12 7 16 21 
湃	8 17 3 
忒	0 13 8 
皃	17 16 1 11 
䬗	9 6 16 9 
㤚	13 19 5 7 11 
嘧	10 15 13 
䟜	10 7 12 22 9 
默	11 5 14 3 19 
怶	13 7 2 24 21 
鄽	24 9 5 1 
恃	13 5 5 
鍈	16 0 12 3 
㱫	6 16 6 8 12 
醏	18 6 5 9 4 
鬽	17 16 2 4 18 
牅	13 7 3 7 
怵	13 18 24 
場	5 9 6 17 
郏	6 20 22 1 
䢥	6 7 7 15 
䊆	21 14 20 
琯	6 15 13 13 
㯽	18 15 13 12 
睖	7 5 22 19 
䇊	20 24 2 24 
枟	18 5 2 24 
谧	24 13 19 11 1 
夾	3 22 22 8 
葆	0 22 10 
彚	21 15 9 18 
厶	2 13 24 
腍	4 22 24 13 
鄪	23 9 12 1 
㲢	24 13 12 13 
㶘	8 19 18 9 
䢓	15 6 5 15 
弐	6 0 5 3 
旷	9 24 19 
溄	8 12 19 7 
浳	8 0 4 6 
珀	6 17 6 
蓙	0 24 22 5 
摃	17 0 12 24 21 
陴	1 17 19 
杘	13 18 8 
磈	3 17 16 2 
吃	10 19 13 
璨	6 7 16 
㔮	0 10 5 23 
蓵	0 17 6 7 
蚁	9 24 16 
昏	16 0 9 5 
䎉	13 3 24 19 16 
槨	18 24 1 1 
楴	18 20 15 7 
蜦	9 22 6 0 18 
弘	23 2 24 
埯	5 3 9 
蒂	0 20 15 
挾	17 3 22 22 
㤖	13 15 18 7 
䚇	8 19 7 16 
势	17 21 24 11 
沅	8 5 16 
蹉	10 7 20 0 4 
玧	6 2 16 13 
㮋	18 3 4 1 
焈	24 13 13 14 
祊	15 24 24 13 
舮	19 4 24 13 21 
䟼	10 7 6 7 21 
氷	24 8 8 
㴞	8 4 7 9 
兛	3 16 19 5 
霁	5 24 9 
䨋	5 19 0 1 
癴	20 23 24 17 
弩	21 2 23 
吒	10 19 0 13 
洝	8 15 21 6 
徤	19 21 5 15 
戆	20 9 19 13 6 
蛌	9 17 2 24 
懸	7 8 19 13 
寔	15 9 6 7 
䔞	0 24 23 5 
聅	1 19 3 24 
㷗	19 13 7 14 
锸	16 19 5 21 
㸓	4 9 5 
盒	22 6 10 11 
旲	9 3 20 
趮	5 7 10 18 
䵬	11 5 14 9 20 
辽	1 15 
瑑	6 23 4 24 
忰	13 21 5 7 
熸	14 0 16 9 24 
唪	10 3 22 
杦	18 16 24 24 9 
謇	15 5 9 24 
鞁	0 5 7 2 
瘏	20 5 19 9 25 
䛄	24 16 1 13 
畜	24 23 11 
弱	23 20 
缥	23 18 5 
㴫	8 21 19 1 
鈟	16 23 7 7 
㥙	13 10 7 13 
㐥	16 4 6 13 
鋡	16 22 24 10 0 
淊	8 16 21 6 
嫑	6 8 18 21 
廫	24 4 13 4 
史	10 16 
㯹	18 18 5 5 
皜	17 24 12 10 
轨	11 21 
㗦	10 1 16 1 
紥	17 13 23 8 
礵	3 5 18 7 
褖	15 20 23 4 
詛	24 4 6 6 
遠	5 10 4 15 
慘	13 2 2 4 
肈	24 13 0 7 1 
㟰	12 15 9 20 
詢	24 16 9 6 
蜬	9 1 8 1 
抜	17 3 2 24 
䃯	3 8 17 18 
糎	14 3 9 5 
裻	7 8 2 4 
舧	19 4 19 24 
㭵	18 16 11 6 
功	0 11 
瞨	7 14 6 24 
曔	9 0 16 19 
㗓	10 22 13 15 
珽	6 19 5 15 
䔆	0 16 19 5 
肞	4 2 24 24 
屰	20 1 19 17 
贮	12 15 6 
咐	10 22 5 
茧	0 9 20 
凜	20 24 11 19 
翲	18 5 8 13 20 
墒	5 20 12 
㑉	22 12 6 16 
砥	3 16 0 24 24 
曼	9 11 2 
翤	10 12 0 13 
㓴	3 12 9 9 14 
攼	5 19 24 
谬	24 13 22 4 5 
蒉	0 10 7 12 
恞	13 6 23 22 
晻	9 3 9 13 
䓃	0 10 2 1 
哉	5 0 10 
浜	8 17 6 22 
䇮	19 22 19 5 
涇	8 6 21 0 
㟹	12 1 16 1 
洛	8 19 10 
猢	16 19 3 4 24 
㻁	6 11 10 6 
䠞	10 7 3 19 14 
溏	8 24 21 10 
锱	16 21 11 
逆	20 1 19 
㬆	9 13 0 9 
㨸	17 15 13 12 
塔	5 0 22 10 
鬿	17 16 2 17 
毳	19 5 13 13 19 
玳	6 22 0 
䵈	19 23 19 18 
癟	20 19 7 0 
㡨	12 7 22 6 
屄	13 15 22 8 
諻	24 17 6 6 
篡	19 7 3 2 4 
俬	22 19 2 24 25 
笈	19 4 24 20 
滅	8 3 6 19 
㤮	16 19 6 13 2 
遻	10 10 20 15 
帤	21 10 12 7 
堏	18 24 5 5 
锹	16 19 14 
痬	20 9 16 17 
枍	18 22 6 13 5 
荥	0 15 8 
嘦	10 22 18 21 
㓂	15 5 16 21 15 
彘	23 6 23 
㚵	21 19 20 24 
珩	6 19 5 
碰	3 20 14 
孁	5 10 10 21 
窷	15 22 1 1 
沑	8 13 5 6 
籇	19 24 15 4 
阨	1 3 1 13 
䩱	0 5 22 9 
榶	18 24 21 10 
歵	7 6 12 24 
隙	1 8 9 
踫	10 7 20 6 
缲	23 10 10 
㿔	20 11 11 11 
榒	18 23 20 20 
釪	16 6 5 7 
䤻	16 3 0 4 
瀪	19 23 6 8 6 
䘦	15 20 13 23 
䎆	13 22 24 2 
鐳	16 5 11 6 
㐂	0 0 0 1 
䏓	4 5 16 13 
䃗	3 21 8 9 
殣	6 16 0 6 
䝎	4 12 3 9 
㜀	21 18 7 6 
賽	15 5 9 12 
㼧	2 4 6 13 
眿	7 24 13 8 
䍁	23 20 4 15 
㷴	3 19 19 14 
侽	22 11 11 13 
摨	17 13 8 7 
曽	20 11 9 5 
衶	15 20 10 7 
钒	16 12 24 24 15 
卭	0 1 7 
䃍	3 20 4 24 
徙	19 7 7 
愵	13 23 20 20 
檠	0 16 10 18 
䖑	7 0 12 9 25 
塘	5 24 21 
樴	18 20 0 9 
鈀	16 2 13 3 
㞐	13 20 3 
㞄	3 13 3 13 
嫠	5 8 19 
勫	19 14 11 11 
嬌	21 19 3 10 
觋	0 22 22 16 10 
葉	0 0 13 18 
㝏	15 22 9 9 
钠	16 12 22 
䖧	9 9 6 6 
㮷	18 3 13 9 
㧊	17 6 12 7 
屛	13 19 5 5 19 
䐝	4 8 12 24 
㳊	8 19 24 
蝸	9 12 13 10 
嘞	10 0 5 
㰐	18 1 3 15 
壓	3 9 4 5 22 
溁	8 0 15 18 
㳲	8 8 3 24 
㼒	17 2 24 17 
䯨	24 12 10 3 
荑	0 6 23 
虠	20 16 7 12 
灀	8 5 18 7 
鋄	16 6 14 2 
㕿	19 10 5 
翌	13 20 5 
宠	15 3 23 
阗	20 5 7 7 
襊	15 20 9 2 
䁹	7 13 10 20 
境	5 20 9 
䢔	22 6 10 15 
醢	18 6 3 11 
誋	24 13 13 24 
釴	16 0 24 23 
茉	0 6 18 
放	24 19 
訞	24 19 3 24 
控	17 15 22 
㻱	6 19 3 15 
甲	11 7 13 7 
锖	16 6 4 6 
瓿	20 10 6 
謨	24 0 9 3 6 
聽	1 6 5 13 
宝	15 6 24 
尴	3 13 9 11 
癮	20 1 4 13 
虔	7 0 24 
苴	0 4 6 
译	24 2 5 
聠	1 20 0 7 
灬	14 24 24 
㮄	18 5 16 24 
䁯	7 22 6 13 13 
䆾	15 22 0 11 
燏	14 2 1 10 
藞	0 3 3 3 
害	15 3 
疁	11 13 22 4 2 
泽	8 2 5 
埔	5 6 4 24 
炅	9 14 20 11 
筇	19 0 1 
燚	14 14 14 14 
覓	4 7 
擩	17 5 3 9 
䛡	24 16 0 10 
跞	10 7 16 8 
秘	19 13 
䓺	0 20 6 3 
䘷	15 20 20 8 16 
破	3 7 2 
髛	24 12 10 21 
陭	1 3 18 10 
坱	5 12 3 24 
柸	18 6 8 6 
䣭	18 6 3 24 
貉	4 4 19 10 
記	24 13 13 
滰	8 20 9 16 
䄺	19 6 23 22 
砮	21 2 3 5 
澨	8 19 0 22 
艔	19 4 24 2 
殫	6 16 10 5 
闵	20 24 8 
櫲	18 2 1 4 
䕾	0 10 10 19 
牉	19 7 6 5 3 
撴	17 24 1 19 
鄂	10 10 5 1 7 
肗	4 21 6 
㸱	19 17 19 1 
煙	14 18 5 6 
钹	16 3 2 24 18 
䁔	7 4 5 2 
蝺	9 19 10 24 
㞏	13 19 15 8 
珴	6 19 17 19 
唩	10 19 21 6 
蠦	9 7 0 11 
㥀	13 5 7 6 
叆	5 2 4 2 
仄	3 22 8 
乯	19 20 7 13 
䂕	19 3 23 4 
踋	10 7 5 1 15 
籓	19 8 19 11 
䀔	7 21 24 24 
㮚	7 11 22 18 
䍈	17 12 6 7 7 
硿	3 15 22 0 
烕	3 6 14 19 
恧	3 12 9 13 
卧	0 7 13 7 
曫	23 24 23 9 13 
冿	20 21 5 7 
瓂	6 0 5 11 
強	23 2 9 24 
嶑	12 16 9 4 
䟧	10 7 11 6 
婣	21 9 6 6 
漂	8 18 5 
蔤	0 15 13 12 
和	19 
柙	18 11 7 
䛍	24 23 9 7 
妤	21 2 1 7 
瘉	20 22 6 9 2 
読	24 5 15 16 
㾢	20 18 22 22 
㯷	18 22 14 24 
挿	17 19 5 9 12 
鎼	16 7 0 17 
燒	14 5 5 16 
浌	8 22 0 19 
亸	24 1 20 5 
蕔	0 5 20 2 
邉	19 7 15 15 
窈	15 22 23 11 
䝴	6 10 7 12 
㩆	17 24 8 13 
仗	22 3 24 24 11 
硺	3 4 24 24 5 
䞍	12 6 4 6 13 
目	7 7 7 7 
揠	17 0 9 21 
㙨	5 23 23 19 
㺄	16 19 22 9 1 
㰂	18 15 19 11 
捓	17 0 7 1 
瑷	6 4 15 2 
䀵	7 2 19 3 
双	2 2 
萱	0 15 6 6 
烑	14 8 16 13 
醝	18 6 20 0 
鈩	16 24 13 19 
㪉	22 6 10 19 24 
湜	8 9 6 7 16 
馘	20 19 7 6 
虏	7 0 11 21 
篟	19 22 6 4 
秏	19 19 5 13 
㺑	16 19 2 4 
妵	21 24 6 6 
蔆	0 8 5 19 
偘	22 10 10 10 
整	6 10 8 7 
岯	12 6 8 6 
僟	22 23 23 19 
趛	5 7 16 3 
䍋	17 12 19 5 
荶	0 10 22 13 
皋	17 3 5 9 
尙	8 12 10 5 
㷱	2 4 5 14 
㧶	17 19 12 19 
䅯	19 24 21 10 7 
趽	10 7 24 13 22 
㸖	22 16 4 6 
䈍	19 24 13 7 
梋	18 10 4 6 
纪	23 13 
漃	8 15 7 2 
罎	17 12 9 2 
檀	18 24 11 
䧗	1 19 9 19 
言	24 24 24 
箺	19 3 22 9 
篢	19 0 12 20 
脯	4 6 4 
䟔	10 7 7 24 
覡	0 22 22 16 
挗	17 6 23 22 
䴭	18 22 22 19 
䈕	19 9 6 7 3 
鉅	16 0 13 6 
奙	2 3 9 13 
荚	0 6 20 22 
㷁	14 2 4 7 
矋	7 3 0 24 
䜊	24 6 12 9 
䊫	14 11 3 3 
寂	15 7 
菀	0 15 16 1 25 
㝖	15 16 16 20 
溺	8 23 20 
兽	20 11 6 
舰	19 4 12 16 3 
䠧	10 7 13 9 
枎	18 5 22 24 
慻	13 20 3 7 
㙆	5 15 3 2 2 
盡	21 7 
睊	7 10 4 6 
呎	10 13 24 24 
胯	4 3 5 13 
䑔	21 6 12 7 7 
墪	24 1 19 5 
媴	21 5 10 4 
㳵	8 19 1 6 
簟	19 18 9 
䓊	0 6 10 5 
誁	24 20 0 7 
䝦	4 4 19 8 
䙼	21 10 7 16 
齟	7 1 4 6 
籶	14 12 13 
濥	8 16 15 22 
㢊	24 3 18 10 
昺	9 6 12 22 4 
眶	7 0 6 
宣	15 6 9 
畂	11 16 24 24 
巠	6 21 0 5 1 
动	5 2 11 
柂	18 19 1 13 
聈	1 23 11 13 
搾	17 15 22 5 
羬	20 3 3 19 
绎	23 2 5 
勴	7 0 11 11 15 
㦀	13 19 3 15 
腅	4 14 14 24 
袂	15 20 13 
㠣	12 3 19 7 
睭	7 12 5 10 
霿	5 2 1 7 11 
辕	11 5 10 
呏	10 19 0 7 
吿	17 7 10 5 
胀	4 19 0 
娟	21 10 4 
唈	10 10 2 13 
梃	18 19 5 15 
蓼	0 13 22 
簞	19 10 10 5 13 
牃	13 7 3 18 2 
䩐	0 5 19 13 
硠	3 24 21 4 
种	19 10 7 
㮔	18 19 6 5 
谖	24 4 5 
蘑	0 24 18 
蜠	9 11 19 24 
蜓	9 19 5 15 13 
㐪	24 1 22 20 
倐	22 7 19 14 17 
神	15 24 9 
衖	19 0 22 7 
裠	21 19 10 4 
䁥	7 0 0 10 
昶	24 13 8 9 
偗	22 8 19 7 
醔	19 14 18 6 
䨱	5 19 19 19 
椡	18 6 2 9 
㞻	12 10 6 13 
䬆	12 19 9 9 4 
檏	18 14 6 22 
苪	0 6 12 22 9 
䰢	17 16 2 7 
䆔	15 22 10 7 20 
踛	10 7 5 5 13 
䄄	15 24 11 3 
蘽	0 11 11 18 
墘	5 5 9 13 
㝽	3 13 8 8 
普	20 14 
赾	5 7 17 10 11 
㨴	17 5 9 13 23 
䜀	24 21 24 7 2 
帜	12 7 10 22 
犔	19 17 17 14 
聖	1 10 6 5 
㓝	5 9 9 7 
鈦	16 3 24 24 
磋	3 20 3 
膼	4 12 13 15 
汥	8 5 2 24 
匛	0 16 24 8 
峵	12 15 3 2 
㢍	24 0 12 3 
熉	14 10 12 24 
奸	21 5 7 
䞹	5 7 17 6 
鼽	19 7 11 21 
椼	18 19 8 7 
䵒	19 22 8 9 6 
㑆	22 10 16 13 
嶏	12 3 18 13 
嬓	21 17 24 19 
韆	0 5 18 15 
礥	3 0 7 12 
㫄	5 16 24 1 
赊	12 22 5 
㓈	20 3 6 
㤞	13 15 19 0 
䗎	9 18 5 6 
莒	0 10 10 5 18 
竅	15 22 17 19 
㩸	17 11 11 6 
仿	22 24 13 
庿	24 0 11 3 
景	9 24 
啤	10 17 19 
渺	8 7 8 19 
僷	22 0 0 18 
錥	16 24 2 4 
鬴	6 10 12 24 20 
㷛	22 10 18 14 19 
㶻	19 3 7 14 
焻	14 9 9 6 
桪	18 21 5 24 
浶	8 15 17 7 
䔗	0 15 24 3 
稒	19 11 3 6 
䒦	0 19 15 20 
咧	10 6 16 
䖝	19 9 8 
篾	19 11 3 19 
粝	14 3 3 
銆	16 3 9 6 
脇	4 11 11 11 
喠	10 19 6 5 
㸽	19 17 12 24 
㟴	12 17 16 2 
聵	1 10 7 12 
㧎	17 0 7 19 
憻	13 24 11 6 
迪	12 15 
䏙	4 15 16 13 
歳	7 3 6 19 
底	24 16 0 
䄔	15 24 19 24 
䇢	19 3 5 
估	22 3 
䄐	1 12 5 13 13 
攺	13 19 24 
睏	7 11 18 24 
釟	16 22 24 
莊	0 13 7 5 
磕	3 5 2 
罅	17 12 7 7 
酌	18 6 16 
荇	0 19 5 7 
㶥	14 5 7 
呛	10 22 1 
腕	4 15 16 
猸	16 19 13 7 
洑	8 22 3 24 
帆	12 7 12 
詇	24 12 3 24 
楾	18 17 8 24 
渇	8 9 16 23 
唑	10 22 22 
䖗	7 0 3 19 
鍰	16 4 5 2 12 
皉	17 7 23 13 17 
灖	8 24 18 3 
铝	16 10 10 
苎	0 15 6 5 
擫	17 3 9 3 
莫	0 9 3 
煣	14 2 1 18 
鏆	16 23 5 12 
楩	18 22 6 16 
浥	8 10 2 13 
飁	13 17 12 9 
涏	8 19 5 15 
遧	20 9 15 10 
宛	15 16 
耭	3 8 23 19 
玒	6 0 6 
垃	5 20 6 
蛔	9 11 10 
豻	4 4 5 7 
缻	17 12 6 13 
槒	18 24 23 11 
䈹	19 15 22 9 
䛈	24 19 3 24 3 
㖏	10 9 5 6 
儒	22 5 3 
蚎	9 9 6 
荞	0 19 3 9 
鄯	20 3 20 1 
䣫	18 6 5 2 
黤	11 5 14 13 12 
㣁	23 0 19 4 
椈	18 16 14 24 
釰	16 21 24 24 
㠋	12 10 10 13 
墄	5 3 7 19 
膮	4 5 5 16 
灭	6 14 8 
褒	24 22 10 
㽁	3 19 19 13 
㣫	19 19 6 5 18 
嗋	10 11 11 4 
羭	20 3 22 9 22 
蔾	0 19 16 18 
琺	6 8 5 2 
霆	5 19 5 
橀	18 24 2 11 
獙	16 19 20 19 
手	17 19 
仠	22 5 7 
秨	19 19 7 5 9 
糀	14 0 22 23 
迿	16 9 15 3 
㲸	8 13 13 
饕	10 6 13 4 17 
說	24 22 10 16 
渟	8 24 15 18 
茐	0 16 17 24 
锏	16 20 9 6 12 
巼	2 10 23 1 
搄	17 13 6 6 12 
芀	0 21 1 20 
胧	4 3 23 
嫞	21 24 21 7 
瑳	6 20 3 0 
䰎	3 4 10 12 
护	17 24 13 
梦	18 18 16 
膇	4 22 13 15 
篔	19 10 12 20 
濤	8 5 13 5 
臎	4 13 24 5 
㻘	6 15 9 7 
聁	1 22 21 13 
㡱	24 16 24 8 
䙃	15 20 3 4 
菕	0 22 6 0 22 
㧘	7 23 17 9 
疽	20 4 6 
宩	15 14 20 12 
表	6 4 
罷	11 2 4 23 
糞	14 11 0 22 7 
咹	10 15 21 6 
厜	3 19 6 5 8 
虑	7 0 13 
糔	14 2 24 9 
䟖	10 7 12 7 
沚	8 7 6 
鐟	16 5 22 9 
䕺	0 14 6 2 
挷	17 3 19 1 
䞏	12 11 13 24 
靪	0 5 18 7 
煭	21 6 16 14 
詥	24 22 6 10 
䔘	0 17 12 6 
喞	10 17 23 1 
焘	3 19 5 14 
覎	7 16 1 3 
䎗	19 3 10 13 
滆	8 6 10 7 
楻	18 17 6 6 
藱	0 20 17 2 
蒖	0 5 7 22 
沛	8 6 12 7 24 
㞬	12 0 5 12 
䴷	18 22 22 16 6 
瞁	7 7 3 24 
咉	10 12 3 24 
愗	2 1 19 13 2 
萒	0 20 2 16 
酠	18 6 18 10 
糘	14 15 4 24 
貺	12 10 16 13 
蚶	9 0 5 
䆙	15 22 6 7 
棰	18 19 6 
嬈	21 5 5 16 
䂞	3 18 20 
竻	19 11 1 
浐	8 20 19 19 
㻯	6 7 0 7 
羫	20 3 15 0 
牺	19 17 18 
勪	19 3 10 11 19 
䔶	0 17 9 7 
惴	13 12 3 9 
䊭	14 5 13 5 
阐	20 20 9 
年	17 7 
瑬	8 24 2 24 
辛	20 24 6 7 7 
遄	12 3 12 
肪	4 24 13 
臚	4 7 0 11 
㞆	3 13 3 10 
埽	5 21 15 
恰	13 22 6 10 
昫	9 16 10 6 6 
缟	23 24 12 
旑	24 3 18 10 9 
㥶	15 5 9 13 
僰	6 12 8 22 
笗	19 19 20 20 
鈬	16 13 24 24 
栊	18 3 23 
録	16 21 8 24 
䇀	15 22 0 1 
懂	13 0 19 
牆	13 7 3 10 
䕢	0 3 20 0 
屽	12 5 7 15 
蘩	0 19 23 8 
鍦	16 24 19 1 2 
黇	0 12 22 10 
牶	20 3 17 7 
蛑	9 2 17 
暗	9 20 
㘻	5 11 3 24 
焪	14 15 22 23 
燝	14 9 24 8 
相	18 7 
㯠	18 24 23 7 
䊇	14 6 4 24 10 
㥓	13 3 18 10 
羮	20 6 14 24 
扇	24 13 13 3 
悟	13 6 10 6 
㫸	9 6 21 7 4 
圷	5 6 7 24 7 
崣	12 19 21 5 
湩	8 19 6 5 9 
剋	3 16 9 10 
䴰	18 22 22 0 1 
㳶	8 4 1 13 
竨	20 7 9 7 
宰	15 20 9 
佧	22 7 7 
贠	2 12 20 
樞	18 0 10 10 
蟋	9 19 14 
幘	12 7 6 12 
每	19 23 6 
粥	23 14 23 
跈	10 7 22 4 
汔	8 19 13 
韻	20 9 10 12 
㷍	14 22 6 0 6 
攱	20 5 2 24 
旽	9 6 1 13 
紫	7 23 23 
伳	22 0 13 13 
氾	8 1 13 
钋	16 7 24 1 
峕	12 24 9 5 
幐	4 20 3 7 15 
帽	12 7 9 
㷧	14 3 17 8 
斺	24 22 9 7 24 
焠	14 24 22 5 
阩	1 19 0 7 
䍣	11 5 11 5 
㲓	19 5 13 19 
焷	14 17 19 5 8 
畼	11 9 6 17 25 
㗔	10 7 0 24 17 
㘷	5 0 16 24 
捺	17 3 5 8 
爁	14 0 7 11 
廪	24 24 11 8 
槓	18 0 12 24 
警	0 16 10 24 22 
睅	7 9 5 7 
㶨	6 8 14 20 
舘	22 5 10 13 
烡	14 0 22 20 
㛇	21 24 5 6 
甋	20 12 3 13 
蚼	9 16 10 6 
熨	13 5 8 14 
剾	0 10 10 9 2 
䑨	19 4 19 1 
胶	4 20 
飸	10 6 13 4 
覩	5 19 9 16 
茈	0 7 23 
霖	5 18 18 
䪦	20 9 0 6 
齸	7 1 20 11 
罳	11 11 13 20 
銒	16 5 19 5 
糯	14 5 3 
罜	11 24 6 5 
䠕	10 7 7 18 
夜	24 22 19 
郇	16 9 1 
邧	5 16 1 7 
痗	20 19 23 20 
㝝	15 18 18 20 24 
箢	19 15 16 
孼	1 19 22 1 
髶	3 4 1 5 
蔢	0 8 7 21 
窠	15 22 9 
蝲	9 6 10 9 2 
偊	22 19 10 24 
唰	10 13 12 
趇	5 7 20 3 
娔	21 3 16 13 
玑	6 12 13 
沝	8 8 24 
䩚	0 5 16 24 20 
醰	18 6 18 9 
槗	18 3 10 10 
禫	15 24 18 9 
妊	21 19 5 
濽	8 5 22 12 
㣽	21 13 20 
攷	6 13 19 24 
橼	18 23 23 4 9 
㻳	6 0 19 9 
酃	5 10 10 
癍	20 6 24 
瑱	6 5 7 22 
䙅	15 20 18 21 
擏	17 0 16 19 
泎	8 19 7 5 
弎	0 3 3 
㯎	18 24 18 24 
掂	17 24 7 
寤	15 13 7 10 
锅	16 10 12 
攍	17 24 13 24 
㖑	10 0 0 7 
詋	24 10 16 13 
墽	5 17 24 19 
旾	6 1 13 9 
䀜	16 17 7 5 
潂	8 12 20 6 
空	15 22 
哟	10 23 
䐬	4 6 12 9 
蜳	9 24 1 6 
掿	17 0 3 10 
潹	8 18 18 18 
㵠	8 15 22 12 
氹	13 8 8 
胂	4 9 7 7 
薖	0 12 13 15 
怣	17 22 13 20 
齨	7 1 21 6 
坽	5 22 24 2 15 
詣	24 23 9 6 
齢	7 14 1 2 
㘲	5 13 21 13 
䄃	15 24 12 3 
缾	17 12 20 0 
席	24 0 12 
祵	15 24 11 18 
襩	15 20 5 12 17 
㩢	17 0 11 19 
㰅	18 20 12 15 
射	19 12 3 5 9 
䤞	16 3 13 13 
貌	4 4 17 16 
䗁	9 3 18 10 
䒼	0 12 0 5 
䇋	20 16 16 24 20 
桘	18 22 13 13 
枣	6 12 8 20 
疢	20 14 8 5 
廀	24 15 14 2 
秝	19 19 24 
隧	1 20 4 
澀	8 21 24 7 
裤	15 20 24 
㓫	3 6 0 9 14 
菅	0 15 13 13 
汮	8 16 20 6 
䧙	1 12 22 13 
蹁	10 7 24 0 
盎	12 3 11 
䒅	19 4 20 7 
籈	19 18 5 13 
疚	20 16 24 
㾇	20 7 3 
霫	5 13 17 5 
齚	7 1 19 5 
灊	8 0 16 7 7 
兒	21 16 1 
竝	20 20 6 
嗼	10 0 9 3 
氵	8 24 24 6 
谅	24 24 8 
桯	18 10 6 6 
夡	16 16 5 10 
臷	5 0 6 5 
埵	5 19 6 5 18 
怖	13 3 12 
媉	21 13 6 5 
牸	19 17 15 1 
㕜	10 7 2 20 
諉	24 19 21 6 
澜	8 20 6 8 21 
嵄	12 20 6 3 
慝	0 0 3 13 
囕	10 0 7 16 
瘆	20 2 3 4 
礄	3 19 3 10 
蛨	9 3 9 6 
莋	0 22 19 5 5 
嬟	21 20 6 19 
㥲	5 7 22 13 
镍	16 19 7 
庉	24 6 1 13 
択	17 13 24 24 
鄠	5 5 13 1 10 
䵆	18 22 22 4 
麰	18 22 22 7 
蚩	1 7 6 9 
拡	17 24 2 24 
䤚	4 9 5 6 
烽	14 19 
邻	22 24 2 1 
䎪	3 8 9 5 
㾸	20 24 12 10 
錧	16 15 13 13 
榡	18 6 23 8 
套	3 3 20 
㷯	14 5 3 7 
蓔	0 20 6 14 
惓	13 20 3 1 
䑕	21 12 5 7 
苧	0 15 18 9 
栽	5 0 18 
䀠	7 7 6 
㱚	6 16 4 6 
鞍	0 5 15 
狐	16 19 17 
佌	22 7 23 13 
宑	15 5 9 9 
訏	24 6 5 7 
葌	0 21 21 21 13 
讈	24 3 19 7 
㪏	17 19 5 2 
㧤	17 24 2 16 3 
球	6 5 8 
鐍	16 2 1 10 
㷈	14 3 9 13 
錦	16 17 12 7 
䴱	18 22 22 23 
銎	0 12 24 16 
忙	13 24 13 13 
茥	0 5 5 5 
䜢	24 15 3 13 
圶	3 5 5 17 
夽	3 5 2 20 
㣎	17 8 4 17 
蜚	3 9 3 9 12 
臵	6 2 5 10 
貅	4 4 22 
訣	24 13 22 24 
溒	8 5 10 4 
竁	15 22 19 13 12 
䢖	21 5 7 15 
䋰	7 22 23 8 
䉗	19 17 10 1 
叡	7 15 6 2 12 
黄	0 12 22 
㚡	3 18 10 10 
壯	13 7 3 5 
䧤	1 14 6 24 
㭆	4 6 18 20 
㘕	10 0 0 11 
靀	5 0 15 4 
丰	3 7 
臰	19 7 6 23 
衜	19 20 19 7 
疀	21 11 6 7 
闬	20 5 10 22 
䦻	1 1 6 
只	10 22 
㞧	12 4 1 
墝	5 5 5 16 1 
褟	15 20 9 13 
咷	10 8 16 13 
㛶	21 12 3 14 
迏	3 24 15 8 
櫗	18 0 11 19 
䓝	0 1 11 5 
猖	16 19 9 9 
鞄	0 5 16 13 
詒	24 2 10 6 
㖷	10 9 6 7 
伞	22 20 7 
镣	16 3 20 
廣	24 0 12 22 
菿	0 6 2 9 
蓁	0 3 22 19 21 
淳	8 24 1 
䗰	9 23 5 12 
埘	5 9 5 24 
阭	1 2 16 13 
靫	0 5 2 24 18 
䁾	7 0 11 19 
墋	5 2 2 4 
麫	18 22 22 13 10 
蔁	0 20 9 9 
虯	9 13 7 7 
舻	19 4 7 
垊	5 13 0 13 20 
