Class name	IDS Label Sequece
㨔	0 209 6 9 17 139 129 
俳	0 131 138 
䒬	1 133 358 
蕢	1 133 1 1 337 139 1 163 143 
姼	0 145 1 204 204 
厑	5 285 0 129 169 
黫	0 203 1 264 141 
焰	0 234 1 210 193 
䎠	4 345 284 
㛤	0 145 1 139 0 6 220 155 6 220 155 
呍	0 129 1 177 178 
檑	0 170 1 146 240 
偀	0 131 1 133 329 
蘎	1 1 133 146 0 157 268 
㫗	1 152 309 
渁	0 185 1 287 287 
㑌	0 131 8 211 226 
㰛	0 170 1 133 1 0 0 159 300 159 170 
冮	0 222 149 
謏	0 156 1 20 175 
呩	0 129 358 
䎶	0 231 318 
笐	1 11 1 158 154 
噾	0 129 1 1 142 143 1 147 152 
怦	0 153 7 212 128 
褂	0 173 0 1 141 141 229 
愔	0 153 1 147 152 
漐	1 0 1 141 1 128 212 345 287 
娦	0 145 1 348 143 
麬	0 1 7 170 0 137 137 248 353 
婍	0 145 1 140 2 167 129 
儉	0 131 1 1 1 137 139 0 129 129 0 137 137 
拾	0 209 1 1 137 139 129 
蠓	0 258 1 133 1 1 195 139 269 
盃	1 232 330 
㼤	1 0 214 271 365 
彡	216 
猝	0 298 1 1 158 0 137 137 197 
柠	0 170 1 142 167 
贄	1 0 1 141 1 128 212 345 1 163 143 
纠	0 297 276 
槑	0 1 129 170 1 129 170 
炻	0 234 179 
蚷	0 258 184 
曌	1 0 152 157 1 1 142 143 149 
㱞	0 319 147 
荏	1 133 0 131 1 207 233 
蟬	0 258 1 0 129 129 19 
賍	0 1 163 143 5 224 141 
費	1 389 1 163 143 
痱	5 201 138 
㹄	0 301 1 1 240 143 248 
硧	0 179 1 299 6 220 25 
廭	5 224 0 135 1 347 1 163 143 
痏	5 201 5 174 157 
㸤	0 0 1 147 197 376 1 147 197 
犢	0 301 1 233 1 190 1 163 143 
暁	0 152 1 1 197 227 144 
扆	5 251 192 
滗	0 185 1 11 279 
揢	0 209 1 142 1 248 129 
袊	0 173 1 1 137 155 299 
粎	0 218 394 
蓞	1 133 1 260 193 
咂	0 129 8 211 186 
㑖	0 131 0 131 337 
諨	0 156 1 1 139 129 240 
擡	0 209 1 1 1 233 129 195 1 1 139 178 141 
焞	0 234 1 1 158 129 309 
㱴	0 319 1 347 1 163 143 
犺	0 298 1 158 154 
㲔	0 1 147 197 279 
敒	0 0 131 318 161 
䛁	0 156 31 
郓	0 1 195 250 217 
齛	0 1 168 3 308 1 1 0 137 137 139 0 137 137 202 
捬	0 209 5 224 0 131 266 
唒	0 129 257 
挨	0 209 1 178 1 189 140 
囹	9 286 1 1 137 155 299 
獰	0 298 1 1 142 1 188 330 167 
侳	0 131 7 141 0 137 137 
䍼	0 243 1 0 368 368 152 
䣲	0 257 1 178 227 
䍭	0 243 223 
䬘	4 6 154 1 207 258 1 1 158 129 6 220 129 
搡	0 209 1 1 175 0 175 175 170 
鐰	0 166 1 1 129 0 129 129 170 
㕵	0 129 226 
珸	0 226 1 357 129 
曖	0 152 1 1 260 195 1 188 248 
㴌	0 185 0 145 1 197 129 
蒨	1 133 0 131 1 347 157 
啔	1 0 251 136 129 
遲	4 228 5 148 1 7 151 1 128 143 301 
㕮	0 129 356 
訝	0 156 313 
奻	0 145 145 
乛	265 
给	0 297 1 1 137 139 129 
軄	0 320 2 3 136 1 158 128 152 
禋	0 254 1 264 141 
蹀	0 1 129 168 1 202 170 
䇦	1 11 329 
们	0 131 321 
䆦	1 1 142 143 1 234 234 
㿉	5 201 1 1 337 139 1 163 143 
校	0 170 1 158 356 
䇇	0 147 180 
咏	0 129 383 
嶟	0 249 1 1 128 257 266 
掃	0 209 1 1 215 195 186 
獤	0 298 0 1 1 158 129 309 161 
譒	0 156 1 242 240 
熱	1 0 1 1 141 130 141 345 267 
搕	0 209 1 1 141 178 330 
䞻	4 1 141 171 1 1 299 6 220 25 238 
岢	1 249 2 167 129 
丸	345 
㗪	0 129 1 0 168 169 162 
柋	1 0 131 289 170 
艃	0 288 274 
峌	0 249 1 1 139 178 141 
迮	4 228 399 
柟	0 170 182 
妾	1 147 145 
䒷	1 133 1 236 129 
䶙	0 1 168 3 308 1 1 0 137 137 139 0 137 137 184 
孫	0 309 1 207 162 
㟙	0 249 1 241 152 
䩬	0 200 1 316 25 
寥	1 142 1 0 183 183 1 137 216 
誻	0 156 1 287 152 
毵	0 1 1 178 140 216 279 
詰	0 156 1 233 129 
狛	0 298 300 
姮	0 145 1 139 1 152 139 
鉝	0 166 147 
镽	0 270 1 1 7 140 128 152 206 
暎	0 152 1 133 329 
撬	0 209 1 279 0 279 279 
澂	0 185 0 1 1 249 139 226 161 
睳	0 163 1 140 1 141 141 
滝	0 185 1 147 263 
㡛	0 186 1 133 1 350 9 130 151 
峢	0 249 0 319 199 
浛	0 185 1 1 1 137 155 355 129 
貱	0 1 163 143 353 
轸	0 250 1 137 216 
峛	1 249 0 319 199 
惄	1 0 1 305 206 175 188 
梩	0 170 274 
猽	0 298 1 195 1 152 1 158 143 
蟟	0 258 1 1 7 140 128 152 206 
殥	0 319 1 142 1 1 139 381 143 
砞	0 179 405 
㐌	1 189 333 
岼	0 249 7 212 128 
懑	1 0 185 1 133 393 188 
瑣	0 226 1 206 1 163 143 
殟	0 319 1 9 286 137 330 
运	4 228 1 177 178 
薰	1 133 422 
筂	1 11 0 185 333 
苛	1 133 2 167 129 
囜	9 286 178 
謫	0 156 1 1 158 128 6 220 1 197 129 
漻	0 185 1 0 183 183 1 137 216 
睤	0 163 1 240 283 
㬁	1 152 0 185 1 1 137 139 129 
谕	0 127 1 1 137 139 0 157 199 
錗	0 166 1 135 145 
㠄	1 249 1 0 183 183 300 
䙺	0 234 1 163 130 
茙	1 133 2 136 174 
荱	1 133 5 148 279 
盟	1 0 152 157 330 
谟	0 127 1 133 1 152 140 
屋	5 148 1 1 139 178 141 
优	0 131 4 334 155 
䉹	1 11 1 1 146 0 0 129 129 129 7 149 0 137 137 
戺	0 251 255 
塸	0 141 8 211 1 129 0 129 129 
淼	1 287 0 287 287 
袢	0 173 1 128 25 
銋	0 166 0 131 1 207 233 
欞	0 170 1 1 146 0 0 129 129 129 7 149 0 137 137 
䛛	0 156 9 286 129 
宻	1 1 142 7 175 128 249 
趴	0 1 129 168 143 
烬	0 234 1 394 373 
㷩	1 0 0 436 291 395 234 
㶔	0 185 1 1 190 0 190 190 140 
鈪	0 166 5 285 205 
禝	0 254 1 1 240 143 248 
铆	0 221 386 
茻	1 0 13 13 0 13 13 
䰑	1 0 270 216 1 146 284 
礔	0 179 0 5 148 129 1 147 197 
㣴	0 165 1 134 1 1 139 381 143 
郘	0 1 129 129 217 
咑	0 129 0 209 167 
衫	0 173 216 
謬	0 156 1 0 183 183 1 137 216 
䬊	4 6 154 1 207 258 7 140 0 137 137 
瘃	5 201 409 
焒	0 234 1 129 129 
仒	1 137 373 
璥	0 226 0 1 133 2 210 129 161 
过	4 228 266 
䚲	0 156 216 
蛚	0 258 0 319 199 
䒫	1 133 0 131 289 
㺽	0 226 1 232 139 
恚	1 1 141 141 188 
脡	0 157 4 235 1 207 233 
祖	0 254 278 
铚	0 221 1 1 139 178 141 
蹎	0 1 129 168 1 197 1 26 143 
浟	0 185 0 0 131 151 161 
搢	0 209 1 273 152 
痷	5 201 1 140 263 
瘨	5 201 1 197 1 26 143 
砳	0 179 179 
柗	0 170 1 143 129 
贿	0 292 5 174 157 
狹	0 298 7 140 0 137 137 
㵕	0 185 1 1 1 178 0 178 178 137 418 
晝	1 1 43 139 1 152 139 
杲	1 152 170 
噑	0 129 1 300 7 197 1 128 143 
甙	2 289 351 
坮	0 141 1 178 129 
䑍	0 157 1 0 1 163 143 1 163 143 145 
沶	0 185 358 
兄	1 129 130 
谰	0 127 6 321 364 
㻕	0 226 5 148 172 
何	0 131 2 167 129 
棢	0 170 6 220 1 306 350 
锿	0 221 1 1 158 129 150 
䜐	1 0 217 1 5 174 149 157 156 
仉	0 131 154 
㥾	0 153 8 211 1 133 5 174 129 
㪥	0 5 343 278 1 219 175 
腐	5 224 1 0 131 266 396 
恬	0 153 1 236 129 
㫲	0 152 1 1 197 195 309 
㯓	0 170 1 1 1 137 139 129 0 183 183 
孍	0 145 1 0 129 129 5 285 0 1 265 231 161 
䰆	1 0 270 216 1 247 170 
摍	0 209 1 142 0 131 1 139 300 
抔	0 209 232 
䬍	4 6 154 1 207 258 1 2 210 0 207 207 188 
癘	5 201 1 133 370 
檹	0 170 0 191 1 189 1 140 2 167 129 
嶾	0 249 1 1 1 260 149 215 188 
䤒	0 257 2 36 137 
瀃	0 185 0 1 163 143 1 152 2 210 0 207 207 
黭	0 203 1 1 1 137 139 129 227 
葢	1 133 1 6 140 155 330 
摎	0 209 1 0 183 183 1 137 216 
蟯	0 258 1 1 141 0 141 141 144 
梹	0 170 1 348 143 
㮖	0 170 200 
礫	0 179 1 0 0 159 300 159 170 
㱘	1 5 285 0 1 152 157 239 168 
漖	0 185 0 5 262 309 161 
涢	0 185 1 129 292 
钐	0 221 216 
鉶	0 166 0 1 139 227 199 
涌	0 185 1 299 6 220 25 
屓	5 148 1 163 143 
袻	0 173 284 
諯	0 156 1 249 284 
会	1 137 1 177 178 
凮	6 154 1 139 300 
狕	0 298 0 159 238 
鐃	0 166 1 1 141 0 141 141 144 
颳	4 6 154 1 207 258 1 236 129 
哭	1 0 129 129 239 
鎺	0 166 0 254 278 
蜟	0 258 1 1 158 178 157 
杧	0 170 350 
蔰	1 133 5 251 1 129 268 
爺	1 356 0 231 217 
潔	0 185 1 0 214 271 162 
褉	0 173 1 0 214 271 140 
詐	0 156 399 
襨	0 173 0 1 311 1 306 141 266 
﨤	4 228 310 
蜂	0 258 1 248 214 
㴎	0 185 1 140 358 
俖	0 131 1 232 129 
愶	0 153 1 1 238 0 238 238 157 
犄	0 301 1 140 2 167 129 
䟵	0 1 129 168 369 
简	1 11 6 321 152 
䘜	0 173 186 
窀	1 1 142 143 388 
廛	5 224 1 1 274 130 141 
獖	0 298 1 1 197 227 1 163 143 
㩕	0 209 1 146 1 1 137 155 299 
柆	0 170 147 
睈	0 163 1 129 226 
䙤	0 173 4 228 6 371 129 
䢚	4 228 420 
偮	0 131 1 129 231 
峜	1 249 1 137 168 
阾	0 217 1 1 137 155 299 
蝱	1 350 0 258 258 
㸙	1 356 5 262 152 
齒	1 168 3 308 1 1 0 137 137 139 0 137 137 
䒹	1 133 401 
䩳	0 200 1 142 1 234 175 
䉞	1 11 1 6 9 17 139 129 188 
趷	0 1 129 168 1 189 252 
嬣	0 145 1 1 142 1 188 330 167 
舀	1 260 193 
㛋	0 145 1 137 418 
醆	0 257 1 136 136 
鏑	0 166 1 1 158 128 6 220 1 197 129 
瘧	5 201 5 343 44 
燼	0 234 1 1 1 382 139 267 330 
貒	0 303 1 249 284 
㡤	0 186 1 311 1 306 363 
枩	1 170 1 143 178 
㨁	0 209 1 197 26 
琒	0 226 1 248 214 
碳	0 179 1 249 5 174 234 
䎾	0 231 1 1 137 139 6 220 245 
樥	0 170 1 133 1 248 214 
懊	0 153 1 6 1 207 220 218 140 
謯	0 156 5 343 278 
痕	5 201 304 
侈	0 131 1 204 204 
崫	1 249 5 148 172 
瀼	0 185 1 1 158 1 0 129 129 1 181 139 150 
䠎	0 1 129 168 5 148 1 1 139 178 141 
聎	0 231 397 
腽	0 157 1 152 330 
捒	0 209 302 
塒	0 141 0 152 1 141 266 
镀	0 221 5 224 1 134 175 
婱	1 0 164 1 158 159 145 
逿	4 228 1 1 152 139 2 210 0 207 207 
贲	1 1 197 227 292 
䚄	0 1 215 325 1 163 130 
釧	0 166 366 
䂊	0 247 430 
㯙	0 0 170 1 1 158 178 157 161 
䜜	0 156 1 1 1 219 6 220 139 143 1 137 163 
玡	0 226 313 
㴽	0 185 1 242 188 
馞	0 1 135 152 1 1 197 195 309 
藫	1 133 0 185 1 264 1 152 197 
㢖	5 224 1 242 240 
恫	0 153 6 220 1 139 129 
䝫	0 1 163 143 399 
㥗	0 153 1 152 277 
强	0 164 1 129 258 
㦥	0 153 1 1 1 142 214 190 188 
葈	1 133 1 1 178 129 170 
昨	0 152 399 
洿	0 185 1 140 1 139 256 
搼	0 209 1 1 128 293 374 
抦	0 209 1 139 132 
济	0 185 1 277 0 207 151 
孚	1 260 309 
諵	0 156 1 197 6 220 1 128 212 
㦪	0 153 1 0 0 234 156 234 175 
對	0 1 311 1 306 141 266 
㚫	0 145 310 
欂	0 170 1 133 0 185 1 246 266 
㷐	0 234 1 193 141 
铇	0 221 225 
滍	0 185 1 1 13 139 258 
贔	1 1 163 143 0 1 163 143 1 163 143 
础	0 179 172 
諑	0 156 409 
箥	1 11 0 185 353 
媱	0 145 1 260 261 
寰	1 142 1 1 190 1 139 129 150 
䣛	0 1 170 1 137 325 217 
誹	0 156 138 
䁳	0 163 1 1 133 239 227 
㒂	0 131 1 133 5 262 152 
笜	1 11 172 
甁	0 0 1 207 212 1 207 212 365 
馝	0 1 135 152 335 
籥	1 11 1 1 1 137 139 0 0 129 129 129 6 220 245 
搧	0 209 5 251 0 183 183 
嵓	1 249 1 129 0 129 129 
靣	1 391 9 286 129 
蹒	0 1 129 168 1 133 1 139 7 186 0 187 187 
曲	352 
棭	0 170 1 158 0 131 9 248 155 
㷖	0 1 152 234 1 271 129 
㭁	0 170 327 
䎃	0 182 0 183 183 
䯽	1 0 270 216 1 147 129 
勺	2 210 155 
夙	6 154 319 
馥	0 1 135 152 1 1 189 152 248 
馛	0 1 135 152 4 5 174 175 155 
鈖	0 166 1 143 271 
瘳	5 201 1 0 183 183 1 137 216 
缽	0 261 400 
晾	0 152 1 1 158 129 206 
鑒	1 0 291 1 1 189 139 190 166 
靵	0 200 275 
脍	0 157 1 137 1 177 178 
躈	0 1 129 168 0 1 300 191 161 
彞	1 1 215 0 218 162 227 
洷	0 185 1 1 139 178 141 
墨	1 203 141 
杚	0 170 1 189 252 
䒇	0 288 1 142 1 1 139 129 240 
呡	0 129 180 
歯	1 168 3 308 218 
悦	0 153 1 128 1 129 130 
䛅	0 156 433 
剶	0 1 194 402 199 
䍸	0 243 1 246 266 
蕒	1 133 1 190 1 163 143 
殏	0 319 369 
岧	1 249 1 271 129 
浪	0 185 1 155 304 
踳	0 1 129 168 1 316 152 
刮	0 1 236 129 199 
畩	0 240 192 
茘	1 133 1 271 0 271 271 
娊	0 145 1 163 130 
㘞	9 286 238 
掲	0 209 1 152 2 210 169 
蛂	0 258 4 5 174 175 155 
誏	0 156 1 155 304 
蝥	1 0 247 161 258 
訮	0 156 1 139 227 
耘	0 401 1 177 178 
燲	0 234 1 1 238 0 238 238 1 163 143 
黰	0 203 1 197 1 26 143 
贳	1 202 292 
噫	0 129 1 1 147 152 188 
恕	1 0 145 129 188 
埖	0 141 1 133 0 131 169 
亠	158 
翈	0 433 0 183 183 
巙	0 249 1 128 1 1 1 139 0 0 168 323 255 143 248 
芔	1 13 0 13 13 
洫	0 185 1 207 330 
已	437 
㢎	5 224 35 
殛	0 319 1 7 360 0 129 175 139 
嚍	0 129 1 1 1 382 139 267 330 
玫	0 226 161 
肰	0 157 239 
䐔	0 157 5 251 6 220 245 
缙	0 297 1 273 152 
娞	0 145 1 260 145 
俋	0 131 1 129 268 
釓	0 166 341 
吻	0 129 2 210 0 207 207 
粠	0 218 1 241 143 
覭	0 1 195 1 152 1 158 143 1 163 130 
祇	0 254 331 
误	0 127 1 129 1 139 140 
酱	1 0 398 204 257 
䦂	0 221 5 251 0 183 183 
㡀	160 
崒	1 249 1 1 158 0 137 137 197 
皍	1 300 0 169 380 
岫	0 249 381 
烓	0 234 1 141 141 
㛦	0 145 0 170 170 
談	0 156 1 234 234 
㤣	1 1 128 1 139 227 188 
糣	0 218 1 0 368 368 152 
夶	0 140 140 
泆	0 185 0 207 293 
膈	0 157 1 1 139 129 6 220 1 128 1 139 151 
弹	0 164 1 128 19 
趆	4 1 141 171 1 331 155 
傟	0 131 1 1 143 178 0 183 183 
汄	0 185 137 
喭	0 129 5 1 1 158 128 285 216 
䋢	1 0 209 282 162 
楛	0 170 1 133 1 197 129 
覄	1 264 0 131 239 
䍿	1 0 183 183 226 
䩁	1 138 1 279 0 279 279 
鉓	0 166 1 189 186 
㓰	0 1 139 3 308 240 199 
裘	1 369 192 
䛴	0 156 1 140 2 167 129 
虎	5 343 154 
㫅	0 191 1 137 1 139 283 
爍	0 234 1 0 0 159 300 159 170 
霈	1 146 0 185 378 
缢	0 297 1 1 306 143 330 
㮯	0 170 9 286 269 
錮	0 166 9 286 1 197 129 
釻	0 166 345 
㢋	5 224 0 131 1 204 204 
轺	0 250 1 271 129 
众	1 137 0 137 137 
奈	1 140 358 
䅊	0 135 5 224 1 207 407 
咒	1 0 129 129 154 
朶	1 327 170 
郋	0 323 217 
醟	1 1 0 234 234 195 257 
㘸	1 0 319 169 141 
㳞	0 185 0 131 337 
踟	0 1 129 168 0 1 189 140 129 
郐	0 1 137 1 177 178 217 
碍	0 179 1 1 152 139 266 
䚴	0 156 157 
岉	0 249 2 210 0 207 207 
㒏	0 131 1 1 1 142 1 181 139 143 373 
䠌	0 1 129 168 1 287 157 
㧻	0 209 409 
玮	0 226 427 
錎	0 166 1 210 193 
䇽	1 11 0 209 282 
鬤	1 0 270 216 1 1 158 1 0 129 129 1 181 139 150 
菩	1 133 1 147 129 
吏	438 
㸉	1 0 0 234 1 147 197 234 234 
䪬	0 1 147 152 1 1 197 195 309 
媤	0 145 1 240 188 
䝷	1 0 1 189 140 129 1 163 143 
䣠	0 1 0 293 293 152 217 
針	0 166 197 
孛	1 1 197 195 309 
佗	0 131 1 142 169 
靋	1 146 0 185 5 285 1 0 135 135 168 
䒚	1 133 1 206 207 
鉦	0 166 1 139 168 
䠲	0 320 1 1 137 155 299 
䍥	1 190 5 285 1 0 135 135 168 
适	4 228 1 236 129 
䁋	0 163 1 202 170 
藆	1 133 1 1 1 142 1 181 139 143 374 
汅	0 185 256 
檶	0 170 1 140 8 211 1 129 0 129 129 
剂	0 1 277 0 207 151 199 
檬	0 170 1 133 1 1 195 139 269 
攝	0 209 1 231 0 231 231 
䥇	0 166 5 251 0 183 183 
灺	0 234 333 
祻	0 254 9 286 1 197 129 
荁	1 133 1 139 1 152 139 
莠	1 133 1 135 327 
舐	0 1 236 129 331 
冷	0 222 1 1 137 155 299 
樽	0 170 1 1 128 257 266 
玣	0 226 1 155 404 
䖍	5 343 161 
姩	0 145 362 
䶫	0 1 168 3 308 1 1 0 137 137 139 0 137 137 1 0 129 129 5 285 0 1 265 231 161 
襂	0 173 1 1 1 178 0 178 178 137 216 
袟	0 173 0 207 293 
睶	0 163 1 316 152 
齖	0 1 168 3 308 1 1 0 137 137 139 0 137 137 313 
灶	0 234 141 
仩	0 131 305 
屶	1 249 271 
㚳	0 145 0 238 129 
鎘	0 166 1 1 139 129 6 220 1 128 1 139 151 
芩	1 133 1 1 137 155 355 
愛	1 1 260 195 1 188 248 
蟄	1 0 1 141 1 128 212 345 258 
㥄	0 153 1 1 141 143 248 
䗍	1 1 194 402 258 
㗙	0 129 1 2 210 13 2 210 13 
焖	0 234 6 321 188 
迾	4 228 0 319 199 
銘	0 166 1 204 129 
奾	0 145 249 
瀝	0 185 5 285 1 0 135 135 168 
㠚	0 249 0 1 311 1 306 141 266 
䕍	1 133 1 192 6 220 1 143 129 
㥺	0 153 1 1 141 178 330 
氿	0 185 237 
笎	1 11 1 139 144 
誡	0 156 2 136 227 
袋	1 0 131 289 192 
玟	0 226 277 
磗	0 179 1 246 266 
嵋	0 249 5 336 163 
咄	0 129 172 
嗟	0 129 5 243 149 
㜮	0 145 1 0 291 1 189 155 330 
䞴	4 1 141 171 6 312 1 141 129 
䙎	0 173 1 260 1 159 140 
瘥	5 201 5 243 149 
䤺	0 166 0 179 282 
阱	0 217 181 
銈	0 166 1 141 141 
糑	0 218 0 2 164 222 2 164 222 
滸	0 185 0 156 1 189 197 
鑸	0 166 1 1 240 0 240 240 141 
厚	5 285 1 152 309 
纫	0 297 2 271 207 
服	0 157 5 380 175 
栋	0 170 403 
䚆	0 1 133 329 1 163 130 
飇	4 6 154 1 207 258 1 239 0 239 239 
焙	0 234 1 147 129 
䍻	0 243 1 0 255 255 1 241 143 
䬅	4 6 154 1 207 258 1 238 0 238 238 
蜩	0 258 6 312 1 141 129 
虊	1 133 1 0 0 162 156 162 170 
㘥	9 286 0 1 260 261 1 207 162 
䏄	0 231 1 1 142 143 1 1 139 178 141 
傏	0 131 5 224 1 382 129 
鉇	0 166 1 189 333 
逫	4 228 1 0 175 175 0 175 175 
蚉	1 277 258 
榽	0 170 1 260 1 159 140 
瞇	0 163 4 228 218 
租	0 135 278 
抁	0 209 1 178 130 
杭	0 170 1 158 154 
諸	0 156 5 262 152 
箃	1 11 0 231 175 
䍛	1 190 9 286 1 197 129 
䑃	0 6 312 177 1 133 1 1 195 139 269 
蔧	1 133 1 0 214 214 215 
旆	0 191 1 189 378 
渷	0 185 1 158 1 143 1 129 130 
㝇	0 1 1 158 129 309 1 1 158 129 309 
礛	0 179 1 0 291 1 189 155 330 
㮍	1 1 306 0 157 199 170 
玷	0 226 1 219 129 
字	1 142 309 
䄶	0 135 389 
绀	0 297 351 
琞	1 0 152 157 339 
禎	0 254 1 219 1 163 143 
爐	0 234 5 343 1 240 330 
唫	0 129 166 
靭	0 200 2 271 207 
㤁	1 1 139 140 188 
钺	0 221 340 
炿	0 234 45 
爧	0 234 1 1 146 0 0 129 129 129 7 149 0 137 137 
锘	0 221 1 133 5 174 129 
辩	0 0 1 147 197 127 1 147 197 
䘈	0 258 0 5 285 1 133 370 238 
玎	0 226 167 
咛	0 129 1 142 167 
娭	0 145 1 178 1 189 140 
蝓	0 258 1 1 137 139 0 157 199 
辬	0 0 1 147 197 277 1 147 197 
㓳	4 1 152 1 139 171 199 
释	0 242 1 175 25 
餋	1 1 128 293 411 
巡	4 228 198 
噗	0 129 1 1 311 306 293 
钊	0 221 199 
鋨	0 166 359 
睼	0 163 1 152 1 139 171 
浅	0 185 417 
讖	0 156 2 3 136 0 137 137 1 138 139 
䗼	0 258 422 
欉	0 170 1 1 311 1 128 212 0 231 175 
螑	0 258 1 323 239 
潼	0 185 1 147 274 
篓	1 11 1 218 145 
甼	1 240 167 
䟍	4 1 141 171 1 1 323 1 142 143 191 
皢	0 300 1 1 141 0 141 141 144 
焺	0 234 1 152 1 207 227 
属	5 148 295 
瑻	0 226 1 377 1 163 143 
㘡	9 286 433 
湘	0 185 0 170 163 
狢	0 298 1 248 129 
垭	0 141 273 
残	0 319 417 
焸	1 0 152 152 234 
㸣	0 376 1 311 1 306 363 
姌	0 145 182 
炥	0 234 389 
㯢	0 170 1 0 255 255 1 241 143 
尬	4 334 1 137 0 207 151 
獝	0 298 1 247 6 220 1 143 129 
嫀	0 145 1 316 135 
䃝	0 179 0 5 262 309 161 
牧	0 301 161 
叺	0 129 187 
鼌	1 1 152 139 1 129 263 
柼	0 170 1 142 143 
沀	0 287 342 
潒	0 185 430 
蘦	1 133 1 146 0 0 129 129 129 
㿏	5 201 1 5 317 129 243 
榁	0 170 1 142 1 1 139 178 141 
钇	0 221 252 
垈	1 0 131 289 141 
蒫	1 133 5 243 149 
镠	0 221 1 0 183 183 1 137 216 
粒	0 218 147 
䑧	0 288 0 131 266 
蹻	0 1 129 168 1 1 1 207 140 129 6 220 129 
蓎	1 133 5 224 1 382 129 
䂰	0 179 0 135 199 
䓓	1 133 5 14 266 
蚌	0 258 214 
痂	5 201 0 238 129 
䟲	0 1 129 168 1 1 158 178 130 
氋	0 1 133 1 1 195 139 269 279 
玾	0 226 433 
㶴	0 234 1 204 204 
磲	0 179 1 0 185 184 170 
唻	0 129 7 170 0 137 137 
崜	0 249 419 
璐	0 226 0 1 129 168 1 248 129 
猁	0 298 0 135 199 
箌	1 11 0 1 1 139 178 141 199 
蛒	0 258 1 248 129 
喷	0 129 1 1 197 227 292 
㾡	5 201 0 1 141 178 380 
䌸	0 297 439 
襀	0 173 1 347 1 163 143 
卩	380 
斾	0 191 1 189 186 
䕂	1 133 4 228 1 1 178 129 150 
酔	0 257 1 237 197 
澣	0 185 0 1 197 1 152 197 1 137 212 
蓪	1 133 4 228 1 299 6 220 25 
蘲	1 133 1 1 240 0 240 240 141 
㤟	1 352 188 
仞	0 131 2 271 207 
湀	0 185 1 413 1 139 140 
毰	4 279 1 147 129 
眫	0 163 1 128 25 
䀺	1 0 0 131 151 161 163 
㽙	0 240 1 178 130 
㾪	5 201 1 1 206 207 163 
乳	0 1 260 309 341 
殄	0 319 1 137 216 
叿	0 129 149 
㼞	0 7 212 128 365 
㥥	0 153 370 
憍	0 153 1 1 1 207 140 129 6 220 129 
㡖	0 186 208 
䑥	0 288 310 
圇	9 286 1 1 137 139 6 220 245 
蚖	0 258 1 139 144 
簿	1 11 0 185 1 246 266 
卽	0 1 300 169 380 
唗	0 129 1 141 171 
賯	0 1 163 143 1 2 210 152 309 
懨	0 153 5 285 0 1 152 157 239 
抬	0 209 1 178 129 
這	4 228 156 
勵	0 5 285 1 133 370 238 
䓨	1 1 133 195 261 
齰	0 1 168 3 308 1 1 0 137 137 139 0 137 137 1 241 152 
㫹	1 152 0 1 207 148 282 
㝶	1 1 190 130 266 
懔	0 153 1 1 158 9 286 129 358 
刑	0 1 139 227 199 
镹	0 270 423 
韭	1 138 139 
铽	0 221 2 289 188 
赟	1 0 277 2 28 168 292 
贬	0 292 1 207 281 
拳	1 1 128 293 374 
棉	0 170 1 300 186 
莾	1 133 1 140 1 197 227 
绠	0 297 420 
㽗	0 240 137 
㝗	1 142 1 155 304 
查	1 170 1 152 139 
恲	0 153 1 128 1 139 227 
瓝	4 354 2 210 155 
脬	0 157 1 260 309 
泸	0 185 1 219 148 
踠	0 1 129 168 1 142 0 204 205 
買	1 190 1 163 143 
醤	1 0 398 1 204 266 257 
痾	5 201 0 217 2 167 129 
媮	0 145 1 1 137 139 0 157 199 
帾	0 186 5 262 152 
嘜	0 129 1 7 170 0 137 137 248 
䘇	1 277 1 258 0 258 258 
弁	1 178 227 
蕼	1 133 0 270 307 
㖌	1 0 131 237 0 129 169 
徑	0 165 1 1 139 198 149 
貼	0 1 163 143 1 219 129 
佲	0 131 1 204 129 
㟉	0 249 1 142 301 
㘂	0 129 1 1 306 0 159 159 188 
煺	0 234 4 228 304 
兘	4 1 139 144 1 178 129 
袑	0 173 1 271 129 
枷	0 170 0 238 129 
际	0 217 358 
呗	0 129 292 
咤	0 129 1 142 1 207 407 
歬	1 168 288 
䑱	0 288 1 142 0 204 205 
库	5 224 250 
鎹	0 166 4 228 1 128 1 139 140 
㥂	0 153 1 1 152 139 266 
珕	0 226 1 238 0 238 238 
沿	0 185 1 154 129 
躶	0 320 196 
䂲	1 0 1 141 178 238 179 
殭	0 319 1 1 1 139 240 1 139 240 139 
捋	0 209 1 260 266 
秾	0 135 412 
啴	0 129 1 128 19 
譊	0 156 1 1 141 0 141 141 144 
霷	1 146 0 152 1 1 152 139 2 210 0 207 207 
靔	0 1 347 157 272 
鏂	0 166 8 211 1 129 0 129 129 
岓	0 249 282 
覧	1 0 291 1 189 155 1 163 130 
簄	1 11 5 251 1 129 268 
崕	0 249 5 285 1 141 141 
朜	0 157 1 1 158 129 309 
淶	0 185 7 170 0 137 137 
洨	0 185 1 158 356 
聧	0 231 1 413 1 139 140 
稹	0 135 1 197 1 26 143 
䄥	0 254 1 1 146 0 0 129 129 129 7 149 0 137 137 
㛬	0 145 1 1 141 130 141 
蚜	0 258 313 
付	0 131 266 
凯	0 1 249 395 154 
鎳	0 166 1 323 170 
谡	0 127 1 1 240 143 248 
忝	1 1 139 140 418 
镙	0 221 1 240 162 
郫	0 1 12 197 217 
